Architekten- und Stadtplanerkammer Hessen|65189|Wiesbaden, Landeshauptstadt|Bierstadter Straße|2|info@akh.de|0641/303-3366|ID_OID_9962232_I
Bad Sooden-Allendorf, Stadt|37242|Bad Sooden-Allendorf, Stadt|Marktplatz|8|info@bad-sooden-allendorf.de|0561/106-3366|ID_OID_9169074_I
Bundeskriminalamt|65193|Wiesbaden, Landeshauptstadt|Thaerstraße|11|info@bka.de|0611/32-0|ID_OID_9161193_I
Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen|53113|Bonn, Stadt|Tulpenfeld|4|info@bnetza.de|0221/758-0|ID_OID_9818752_I
Dez. 25.1|35390|Gießen|Liebigstr.|14-16|arbeitsschutz-giessen@rpgi.hessen.de|06151/12-0|ID_OID_9818257_I
Dez. 25.3|65589|Hadamar|Gymnasiumstr.|4|poststelle-afaslm@rpgi.hessen.de|0561/106-0|ID_OID_9390397_I
Dez. 32|35390|Gießen, Universitätsstadt|Landgraf-Philipp-Platz|1-7|gewerbe@rpgi.hessen.de|06151/12-3366|ID_OID_9390457_I
Dez. 35.1|34117|Kassel, documenta Stadt|Am Alten Stadtschloss|1|arbeitsschutz@rpks.hessen.de|0641/303-0|ID_OID_9958552_I
Dez. 35.2|34117|Kassel, documenta-Stadt|Am Alten Stadtschloss|1|arbeitsschutz@rpks.hessen.de||ID_OID_9462236_I
Dez. III/32|64283|Darmstadt, Wissenschaftsstadt|Wilhelminenstraße|1-3|gewerbe@rpda.hessen.de|069/97172-0|ID_OID_9544092_I
Dez. IV/Da 45.1|64283|Darmstadt, Wissenschaftsstadt|Luisenplatz|2|arbeitsschutz@rpda.hessen.de|0611/136-0|ID_OID_9464241_I
Dez. IV/F 43.3 - Immissionsschutz (Chemie Ost, Strahlenschutz)|60327|Frankfurt am Main, St.|Gutleutstraße|114|hans-peter.ziegenfuss@rpda.hessen.de||ID_OID_9857291_I
Dez. IV/F 45.1|60327|Frankfurt am Main|Gutleutstr.|14|arbeitsschutz-frankfurt@rpda.hessen.de|06251/7003-0|ID_OID_9838932_I
Dez. IV/Wi 45.1|65197|Wiesbaden|Simone-Veil-Straße|5|Arbeitsschutz-Wiesbaden@rpda.hessen.de|0641/9390-0|ID_OID_9839732_I
Einheitlicher Ansprechpartner Darmstadt|64283|Darmstadt|Wilhelminenstr|1-3|ea@rpda.hessen.de|06409/69-0|EA_DARMSTADT
Einheitlicher Ansprechpartner Gießen|35390|Gießen|Landgraf-Philipp-Platz|1-7|ea@rpgi.hessen.de|06152/989-0|EA_GIESSEN
Einheitlicher Ansprechpartner Kassel|34117|Kassel|Kurt-Schumacher-Straße|2|ea@rpks.hessen.de|06142/83-0|EA_KASSEL
Frankenberg (Eder), Stadt|35066|Frankenberg (Eder), Stadt|Obermarkt|7-13|buergermeister@frankenberg.de|06172/999-0|ID_OID_9176370_I
Gemeinde Aarbergen|65326|Aarbergen|Rathausstraße|1|info@aarbergen.de|06172/100-0|ID_OID_9000274_I
Gemeinde Abtsteinach|69518|Abtsteinach|Kirchstraße|2|gemeinde@abtsteinach.de|06051/85-0|ID_OID_9001998_I
Gemeinde Ahnatal|34292|Ahnatal|Wilhelmsthaler Straße|3|info@ahnatal.de|06441/99-0|ID_OID_9006158_I
Gemeinde Alheim|36211|Alheim|Alheimerstraße|2|gemeinde@alheim.de|06441/407-0|ID_OID_9003263_I
Gemeinde Allendorf (Eder)|35108|Allendorf (Eder)|Schulstraße|5|gemeindevorstand@allendorf-eder.de|06181/295-0|ID_OID_9004566_I
Gemeinde Alsbach-Hähnlein|64665|Alsbach-Hähnlein|Bickenbacher Straße|6|meldeplattform@alsbach-haehnlein.de|06421/405-0|ID_OID_9000098_I
Gemeinde Altenstadt|63674|Altenstadt|Frankfurter Str.|11|info@altenstadt.de|06421/201-0|ID_OID_9005224_I
Gemeinde Angelburg|35719|Angelburg|Bahnhofstraße|1|gemeinde@angelburg.de|0661/6006-0|ID_OID_9005592_I
Gemeinde Antrifttal|36326|Antrifttal|Weihersweg|24|meldeamt@antrifttal.de|0661/102-0|ID_OID_9001886_I
Gemeinde Bad Emstal|34308|Bad Emstal|Kasseler Straße|57|gemeinde@bad-emstal.de|06124/510-0|ID_OID_9006206_I
Gemeinde Bad Endbach|35080|Bad Endbach|Herborner Straße|1|ordnungswesen@bad-endbach.info|06151/881-0|ID_OID_9005604_I
Gemeinde Bad Salzschlirf|36364|Bad Salzschlirf|Fuldaer Straße|2|a.kovacs@badsalzschlirf.de|06062/70-0|ID_OID_9006248_I
Gemeinde Bad Zwesten|34596|Bad Zwesten|Ringstraße|1|gemeindeverwaltung@badzwesten.de|06031/83-0|ID_OID_9006924_I
Gemeinde Berkatal|37297|Berkatal|Berkastraße|54|gemeinde@berkatal.de|06151/13-2310|ID_OID_9007445_I
Gemeinde Beselich|65614|Beselich|Steinbacher Straße|10|gewerbe@beselich.de|069/212-1|ID_OID_9001521_I
Gemeinde Biblis|68647|Biblis|Darmstädter Straße|25|ordnungsamt@biblis.eu|0611/31-0|ID_OID_9001938_I
Gemeinde Bickenbach|64404|Bickenbach|Darmstädter Straße|7|info@bickenbach-bergstrasse.de|069/8065-1|ID_OID_9000139_I
Gemeinde Biebergemünd|63599|Biebergemünd|Rathaus am Gemeindezentrum||info@biebergemuend.de|06641/977-0|ID_OID_9002932_I
Gemeinde Biebertal|35444|Biebertal|Mühlbergstraße|9|jgoebel@biebertal.de|06621/87-0|ID_OID_8998961_I
Gemeinde Biebesheim|64584|Biebesheim am Rhein|Rathausplatz|1|info@biebesheim.de|05651/302-0|ID_OID_9000226_I
Gemeinde Birkenau|69488|Birkenau|Hauptstraße|119|gewerbeamt@gemeinde-birkenau.de|06257/5008-0|ID_OID_9001962_I
Gemeinde Birstein|63633|Birstein|Carl-Lomb-Straße|1|info@birstein.de|06073/602-0|ID_OID_9002951_I
Gemeinde Bischoffen|35649|Bischoffen|Schulstraße|23|rathaus@bischoffen.de|06257/9330-0|ID_OID_9004222_I
Gemeinde Bischofsheim|65474|Bischofsheim|Schulstraße|13|ordnungsamt@bischofsheim.de|06626/9200-0|ID_OID_9000244_I
Gemeinde Brachttal|63636|Brachttal|Wächtersbacher Straße|48|info@gemeinde-brachttal.de|05681/775-0|ID_OID_9002997_I
Gemeinde Brechen|65611|Brechen|Marktstraße|1|info@brechen.de|06258/806-0|ID_OID_9001539_I
Gemeinde Breidenbach|35236|Breidenbach|Bachstraße|4-14|info@breidenbach.de|06144/404-0|ID_OID_9005580_I
Gemeinde Breitenbach a. Herzberg|36287|Breitenbach a. Herzberg|Machtloser Straße|5|sekretariat@breitenbach-am-herzberg.de|06124/500-0|ID_OID_9003390_I
Gemeinde Breitscheid|35767|Breitscheid|Rathausstraße|14|info@gemeinde-breitscheid.de|06120/27-0|ID_OID_9004210_I
Gemeinde Brensbach|64395|Brensbach|Ezyer Straße|5|info@brensbach.de|06120/79-0|ID_OID_9003883_I
Gemeinde Breuna|34479|Breuna|Volkmarser Straße|3|gemeinde@breuna.de|06123/697-0|ID_OID_9006182_I
Gemeinde Brombachtal|64753|Brombachtal|Hauptstraße|59|corinna.hoyer@brombachtal.de|06722/701-0|ID_OID_9009934_I
Gemeinde Burgwald|35099|Burgwald|Hauptstraße|73|info@burgwald.de|06071/3009-0|ID_OID_9004678_I
