Aarbergen|06439001|439|Rheingau-Taunus-Kreis|Darmstadt
Abtsteinach|06431001|431|Bergstraße|Darmstadt
Ahnatal|06633001|633|Kassel|Kassel
Alheim|06632001|632|Hersfeld-Rotenburg|Kassel
Allendorf (Eder)|06635001|635|Waldeck-Frankenberg|Kassel
Allendorf (Lumda), Stadt|06531001|531|Gießen|Gießen
Alsbach-Hähnlein|06432001|432|Darmstadt-Dieburg|Darmstadt
Alsfeld, Stadt|06535001|535|Vogelsbergkreis|Gießen
Altenstadt|06440001|440|Wetteraukreis|Darmstadt
Amöneburg, Stadt|06534001|534|Marburg-Biedenkopf|Gießen
Angelburg|06534002|534|Marburg-Biedenkopf|Gießen
Antrifttal|06535002|535|Vogelsbergkreis|Gießen
Aßlar, Stadt|06532001|532|Lahn-Dill-Kreis|Gießen
Babenhausen, Stadt|06432002|432|Darmstadt-Dieburg|Darmstadt
Bad Arolsen, Stadt|06635002|635|Waldeck-Frankenberg|Kassel
Bad Camberg, Stadt|06533003|533|Limburg-Weilburg|Gießen
Bad Emstal|06633006|633|Kassel|Kassel
Bad Endbach|06534003|534|Marburg-Biedenkopf|Gießen
Bad Hersfeld, Kreisstadt|06632002|632|Hersfeld-Rotenburg|Kassel
Bad Homburg v. d. Höhe, Stadt|06434001|434|Hochtaunuskreis|Darmstadt
Bad Karlshafen, Stadt|06633002|633|Kassel|Kassel
Bad König, Stadt|06437001|437|Odenwaldkreis|Darmstadt
Bad Nauheim, Stadt|06440002|440|Wetteraukreis|Darmstadt
Bad Orb, Stadt|06435001|435|Main-Kinzig-Kreis|Darmstadt
Bad Salzschlirf|06631001|631|Fulda|Kassel
Bad Schwalbach, Kreisstadt|06439002|439|Rheingau-Taunus-Kreis|Darmstadt
Bad Soden am Taunus, Stadt|06436001|436|Main-Taunus-Kreis|Darmstadt
Bad Soden-Salmünster, Stadt|06435002|435|Main-Kinzig-Kreis|Darmstadt
Bad Sooden-Allendorf, Stadt|06636001|636|Werra-Meißner-Kreis|Kassel
Bad Vilbel, Stadt|06440003|440|Wetteraukreis|Darmstadt
Bad Wildungen, Stadt|06635003|635|Waldeck-Frankenberg|Kassel
Bad Zwesten|06634027|634|Schwalm-Eder-Kreis|Kassel
Battenberg (Eder), Stadt|06635004|635|Waldeck-Frankenberg|Kassel
Baunatal, Stadt|06633003|633|Kassel|Kassel
Bebra, Stadt|06632003|632|Hersfeld-Rotenburg|Kassel
Bensheim, Stadt|06431002|431|Bergstraße|Darmstadt
Berkatal|06636002|636|Werra-Meißner-Kreis|Kassel
Beselich|06533001|533|Limburg-Weilburg|Gießen
Biblis|06431003|431|Bergstraße|Darmstadt
Bickenbach|06432003|432|Darmstadt-Dieburg|Darmstadt
Biebergemünd|06435003|435|Main-Kinzig-Kreis|Darmstadt
Biebertal|06531002|531|Gießen|Gießen
Biebesheim am Rhein|06433001|433|Groß-Gerau|Darmstadt
